team1,team1score,team2,team2score,Week,Year
Dayton Triangles,14, Columbus Panhandles,0,01,1920
Rock Island Independents,45, Muncie Flyers,0,01,1920
Akron Pros,37, Columbus Panhandles,0,02,1920
Chicago Tigers,0, Chicago Cardinals,0,02,1920
Dayton Triangles,0, Cleveland Tigers,0,02,1920
Rock Island Independents,26, Hammond Pros,0,02,1920
Canton Bulldogs,7, Cleveland Tigers,0,03,1920
Chicago Tigers,12, Detroit Heralds,0,03,1920
Dayton Triangles,44, Hammond Pros,0,03,1920
Decatur Staleys,7, Rock Island Independents,0,03,1920
Akron Pros,7, Cleveland Tigers,0,04,1920
Dayton Triangles,20, Canton Bulldogs,20,04,1920
Decatur Staleys,10, Chicago Tigers,0,04,1920
Detroit Heralds,6, Columbus Panhandles,0,04,1920
Rock Island Independents,7, Chicago Cardinals,0,04,1920
Akron Pros,10, Canton Bulldogs,0,05,1920
Buffalo All-Americans,17, Rochester Jeffersons,6,05,1920
Chicago Cardinals,21, Detroit Heralds,0,05,1920
Cleveland Tigers,7, Columbus Panhandles,0,05,1920
Rock Island Independents,20, Chicago Tigers,7,05,1920
Canton Bulldogs,18, Cleveland Tigers,0,06,1920
Chicago Cardinals,6, Chicago Tigers,3,06,1920
Rock Island Independents,0, Decatur Staleys,0,06,1920
Buffalo All-Americans,43, Columbus Panhandles,7,07,1920
Canton Bulldogs,21, Chicago Tigers,0,07,1920
Cleveland Tigers,7, Akron Pros,7,07,1920
Dayton Triangles,21, Rock Island Independents,0,07,1920
Akron Pros,13, Dayton Triangles,0,08,1920
Canton Bulldogs,3, Buffalo All-Americans,0,08,1920
Decatur Staleys,28, Hammond Pros,7,08,1920
Akron Pros,7, Canton Bulldogs,0,09,1920
Akron Pros,14, Dayton Triangles,0,09,1920
Buffalo All-Americans,7, Cleveland Tigers,0,09,1920
Chicago Cardinals,7, Decatur Staleys,6,09,1920
Dayton Triangles,28, Detroit Heralds,0,09,1920
Decatur Staleys,6, Chicago Tigers,0,09,1920
Buffalo All-Americans,7, Canton Bulldogs,3,10,1920
Buffalo All-Americans,0, Akron Pros,0,10,1920
Decatur Staleys,10, Chicago Cardinals,0,10,1920
Decatur Staleys,0, Akron Pros,0,11,1920
Akron Pros,14, Columbus Panhandles,0,01,1921
Akron Pros,41, Cincinnati Celts,0,02,1921
Buffalo All-Americans,17, Hammond Pros,0,02,1921
Chicago Cardinals,20, Minneapolis Marines,0,02,1921
Dayton Triangles,42, Columbus Panhandles,13,02,1921
Evansville Crimson Giants,21, Louisville Brecks,0,02,1921
Rock Island Independents,0, Detroit Heralds,0,02,1921
Akron Pros,23, Chicago Cardinals,0,03,1921
Buffalo All-Americans,38, Columbus Panhandles,0,03,1921
Canton Bulldogs,7, Hammond Pros,7,03,1921
Chicago Staleys,14, Rock Island Independents,10,03,1921
Detroit Heralds,10, Dayton Triangles,7,03,1921
Evansville Crimson Giants,14, Muncie Flyers,0,03,1921
Akron Pros,20, Detroit Heralds,0,04,1921
Buffalo All-Americans,55, New York Brickley's Giants,0,04,1921
Chicago Staleys,16, Rochester Jeffersons,13,04,1921
Cincinnati Celts,14, Muncie Flyers,0,04,1921
Cleveland Indians,35, Columbus Panhandles,9,04,1921
Dayton Triangles,14, Canton Bulldogs,14,04,1921
Hammond Pros,3, Evansville Crimson Giants,0,04,1921
Rock Island Independents,14, Chicago Cardinals,7,04,1921
Akron Pros,3, Canton Bulldogs,0,05,1921
Buffalo All-Americans,28, Rochester Jeffersons,0,05,1921
Chicago Cardinals,17, Columbus Panhandles,6,05,1921
Chicago Staleys,7, Dayton Triangles,0,05,1921
Cleveland Indians,28, Cincinnati Celts,0,05,1921
Green Bay Packers,7, Minneapolis Marines,6,05,1921
Rock Island Independents,14, Detroit Heralds,0,05,1921
Akron Pros,19, Rochester Jeffersons,0,06,1921
Buffalo All-Americans,21, Detroit Heralds,0,06,1921
Dayton Triangles,3, Cleveland Indians,2,06,1921
Minneapolis Marines,28, Columbus Panhandles,0,06,1921
Rock Island Independents,13, Green Bay Packers,3,06,1921
Akron Pros,21, Columbus Panhandles,0,07,1921
Buffalo All-Americans,10, Cleveland Indians,6,07,1921
Canton Bulldogs,14, Dayton Triangles,0,07,1921
Chicago Cardinals,7, Hammond Pros,0,07,1921
Chicago Staleys,20, Detroit Heralds,9,07,1921
Green Bay Packers,43, Evansville Crimson Giants,6,07,1921
Rochester Jeffersons,45, Tonawanda Kardex,0,07,1921
Rock Island Independents,14, Minneapolis Marines,3,07,1921
Buffalo All-Americans,0, Akron Pros,0,08,1921
Canton Bulldogs,7, Cleveland Indians,0,08,1921
Chicago Staleys,3, Rock Island Independents,0,08,1921
Dayton Triangles,27, Detroit Heralds,0,08,1921
Green Bay Packers,14, Hammond Pros,7,08,1921
Buffalo All-Americans,7, Canton Bulldogs,7,09,1921
Chicago Cardinals,3, Green Bay Packers,3,09,1921
Chicago Staleys,22, Cleveland Indians,7,09,1921
Dayton Triangles,3, Akron Pros,0,09,1921
Rochester Jeffersons,27, Columbus Panhandles,13,09,1921
Buffalo All-Americans,7, Chicago Staleys,6,10,1921
Buffalo All-Americans,7, Dayton Triangles,0,10,1921
Canton Bulldogs,15, Washington Senators,0,10,1921
Canton Bulldogs,14, Akron Pros,0,10,1921
Chicago Staleys,20, Green Bay Packers,0,10,1921
Evansville Crimson Giants,48, Cincinnati Celts,0,10,1921
Akron Pros,7, Chicago Cardinals,0,11,1921
Buffalo All-Americans,14, Akron Pros,0,11,1921
Chicago Staleys,10, Buffalo All-Americans,7,11,1921
Cleveland Indians,17, New York Brickley's Giants,0,11,1921
Columbus Panhandles,6, Louisville Brecks,0,11,1921
Chicago Staleys,10, Canton Bulldogs,0,12,1921
Washington Senators,7, Cleveland Indians,0,12,1921
Canton Bulldogs,28, Washington Senators,14,13,1921
Chicago Staleys,0, Chicago Cardinals,0,13,1921
Akron Pros,36, Columbus Panhandles,0,01,1922
Buffalo All-Americans,7, Hammond Pros,0,01,1922
Canton Bulldogs,38, Louisville Brecks,0,01,1922
Chicago Bears,6, Racine Legion,0,01,1922
Chicago Cardinals,3, Milwaukee Badgers,0,01,1922
Dayton Triangles,36, Oorang Indians,0,01,1922
Rock Island Independents,19, Green Bay Packers,14,01,1922
Toledo Maroons,15, Evansville Crimson Giants,0,01,1922
Chicago Bears,10, Rock Island Independents,6,02,1922
Dayton Triangles,0, Canton Bulldogs,0,02,1922
Oorang Indians,20, Columbus Panhandles,6,02,1922
Racine Legion,10, Green Bay Packers,6,02,1922
Toledo Maroons,12, Milwaukee Badgers,12,02,1922
Akron Pros,13, Rochester Jeffersons,13,03,1922
Buffalo All-Americans,19, Columbus Panhandles,0,03,1922
Canton Bulldogs,14, Oorang Indians,0,03,1922
Chicago Bears,7, Rochester Jeffersons,0,03,1922
Chicago Cardinals,16, Green Bay Packers,3,03,1922
Dayton Triangles,17, Minneapolis Marines,0,03,1922
Milwaukee Badgers,20, Racine Legion,0,03,1922
Rock Island Independents,60, Evansville Crimson Giants,0,03,1922
Toledo Maroons,14, Hammond Pros,0,03,1922
Canton Bulldogs,22, Akron Pros,0,04,1922
Chicago Bears,7, Buffalo All-Americans,0,04,1922
Chicago Cardinals,3, Minneapolis Marines,0,04,1922
Dayton Triangles,20, Hammond Pros,0,04,1922
Milwaukee Badgers,0, Green Bay Packers,0,04,1922
Rock Island Independents,26, Rochester Jeffersons,0,04,1922
Toledo Maroons,7, Racine Legion,0,04,1922
Akron Pros,62, Oorang Indians,0,05,1922
Buffalo All-Americans,7, Dayton Triangles,0,05,1922
Canton Bulldogs,7, Chicago Bears,6,05,1922
Chicago Cardinals,37, Columbus Panhandles,6,05,1922
Green Bay Packers,0, Rock Island Independents,0,05,1922
Milwaukee Badgers,0, Hammond Pros,0,05,1922
Racine Legion,9, Rochester Jeffersons,0,05,1922
Toledo Maroons,39, Louisville Brecks,0,05,1922
Akron Pros,22, Hammond Pros,0,06,1922
Canton Bulldogs,0, Toledo Maroons,0,06,1922
Chicago Bears,9, Dayton Triangles,0,06,1922
Chicago Cardinals,9, Buffalo All-Americans,7,06,1922
Green Bay Packers,3, Columbus Panhandles,0,06,1922
Minneapolis Marines,13, Oorang Indians,6,06,1922
Racine Legion,57, Louisville Brecks,0,06,1922
Canton Bulldogs,3, Buffalo All-Americans,0,07,1922
Chicago Bears,33, Oorang Indians,6,07,1922
Chicago Cardinals,7, Akron Pros,0,07,1922
Green Bay Packers,14, Minneapolis Marines,6,07,1922
Louisville Brecks,13, Evansville Crimson Giants,6,07,1922
Racine Legion,34, Columbus Panhandles,0,07,1922
Rock Island Independents,43, Dayton Triangles,0,07,1922
Buffalo All-Americans,3, Akron Pros,3,08,1922
Canton Bulldogs,7, Chicago Cardinals,0,08,1922
Chicago Bears,3, Rock Island Independents,0,08,1922
Milwaukee Badgers,13, Oorang Indians,0,08,1922
Racine Legion,3, Green Bay Packers,3,08,1922
Canton Bulldogs,20, Chicago Cardinals,3,09,1922
Chicago Bears,20, Akron Pros,10,09,1922
Green Bay Packers,13, Milwaukee Badgers,0,09,1922
Oorang Indians,19, Buffalo All-Americans,7,09,1922
Racine Legion,6, Hammond Pros,0,09,1922
Toledo Maroons,7, Columbus Panhandles,6,09,1922
Buffalo All-Americans,16, Akron Pros,0,10,1922
Buffalo All-Americans,21, Rochester Jeffersons,0,10,1922
Canton Bulldogs,40, Milwaukee Badgers,6,10,1922
Canton Bulldogs,14, Akron Pros,0,10,1922
Chicago Bears,22, Toledo Maroons,0,10,1922
Chicago Cardinals,6, Chicago Bears,0,10,1922
Dayton Triangles,7, Chicago Cardinals,3,10,1922
Green Bay Packers,14, Racine Legion,0,10,1922
Oorang Indians,18, Columbus Panhandles,6,10,1922
Racine Legion,3, Milwaukee Badgers,0,10,1922
Canton Bulldogs,19, Toledo Maroons,0,11,1922
Chicago Cardinals,9, Chicago Bears,0,11,1922
Canton Bulldogs,17, Hammond Pros,0,01,1923
Chicago Cardinals,3, Buffalo All-Americans,0,01,1923
Dayton Triangles,7, Columbus Tigers,6,01,1923
Duluth Kelleys,10, Akron Pros,7,01,1923
Green Bay Packers,12, Minneapolis Marines,0,01,1923
Milwaukee Badgers,13, Oorang Indians,2,01,1923
Racine Legion,7, Toledo Maroons,7,01,1923
Rock Island Independents,3, Chicago Bears,0,01,1923
Buffalo All-Americans,9, Akron Pros,0,02,1923
Canton Bulldogs,37, Louisville Brecks,0,02,1923
Chicago Bears,3, Racine Legion,0,02,1923
Chicago Cardinals,60, Rochester Jeffersons,0,02,1923
Duluth Kelleys,10, Minneapolis Marines,0,02,1923
Green Bay Packers,0, St. Louis All-Stars,0,02,1923
Hammond Pros,7, Dayton Triangles,0,02,1923
Milwaukee Badgers,0, Columbus Tigers,0,02,1923
Rock Island Independents,0, Cleveland Indians,0,02,1923
Toledo Maroons,7, Oorang Indians,0,02,1923
Buffalo All-Americans,3, Columbus Tigers,0,03,1923
Canton Bulldogs,30, Dayton Triangles,0,03,1923
Chicago Bears,3, Green Bay Packers,0,03,1923
Chicago Cardinals,19, Akron Pros,0,03,1923
Milwaukee Badgers,7, Racine Legion,7,03,1923
Minneapolis Marines,23, Oorang Indians,0,03,1923
Rock Island Independents,56, Rochester Jeffersons,0,03,1923
St. Louis All-Stars,0, Hammond Pros,0,03,1923
Buffalo All-Americans,57, Oorang Indians,0,04,1923
Canton Bulldogs,6, Chicago Bears,0,04,1923
Chicago Cardinals,9, Minneapolis Marines,0,04,1923
Cleveland Indians,6, St. Louis All-Stars,0,04,1923
Columbus Tigers,34, Louisville Brecks,0,04,1923
Duluth Kelleys,3, Hammond Pros,0,04,1923
Green Bay Packers,12, Milwaukee Badgers,0,04,1923
Racine Legion,9, Akron Pros,7,04,1923
Toledo Maroons,6, Dayton Triangles,3,04,1923
Canton Bulldogs,7, Akron Pros,3,05,1923
Chicago Bears,18, Buffalo All-Americans,3,05,1923
Chicago Cardinals,13, Dayton Triangles,3,05,1923
Cleveland Indians,27, Oorang Indians,0,05,1923
Columbus Tigers,3, Toledo Maroons,0,05,1923
Duluth Kelleys,9, Minneapolis Marines,0,05,1923
Milwaukee Badgers,6, St. Louis All-Stars,0,05,1923
Racine Legion,24, Green Bay Packers,3,05,1923
Buffalo All-Americans,0, Cleveland Indians,0,06,1923
Canton Bulldogs,7, Chicago Cardinals,3,06,1923
Chicago Bears,26, Oorang Indians,0,06,1923
Green Bay Packers,3, St. Louis All-Stars,0,06,1923
Milwaukee Badgers,14, Rock Island Independents,3,06,1923
Minneapolis Marines,13, Racine Legion,6,06,1923
Buffalo All-Americans,3, Canton Bulldogs,3,07,1923
Chicago Bears,20, Akron Pros,6,07,1923
Chicago Cardinals,6, Hammond Pros,0,07,1923
Cleveland Indians,0, Dayton Triangles,0,07,1923
Columbus Tigers,16, Toledo Maroons,0,07,1923
Green Bay Packers,16, Racine Legion,0,07,1923
Milwaukee Badgers,6, Duluth Kelleys,3,07,1923
Minneapolis Marines,6, Rock Island Independents,6,07,1923
St. Louis All-Stars,14, Oorang Indians,0,07,1923
Buffalo All-Americans,3, Dayton Triangles,0,08,1923
Canton Bulldogs,41, Oorang Indians,0,08,1923
Chicago Bears,7, Rock Island Independents,3,08,1923
Chicago Cardinals,10, Duluth Kelleys,0,08,1923
Cleveland Indians,9, Columbus Tigers,3,08,1923
Green Bay Packers,10, Milwaukee Badgers,7,08,1923
Buffalo All-Americans,3, Toledo Maroons,3,09,1923
Canton Bulldogs,46, Cleveland Indians,10,09,1923
Chicago Bears,14, Hammond Pros,7,09,1923
Columbus Tigers,27, Oorang Indians,3,09,1923
Green Bay Packers,10, Duluth Kelleys,0,09,1923
Milwaukee Badgers,17, St. Louis All-Stars,0,09,1923
Minneapolis Marines,6, Rock Island Independents,5,09,1923
Racine Legion,10, Chicago Cardinals,4,09,1923
Toledo Maroons,12, Rochester Jeffersons,6,09,1923
Akron Pros,2, Buffalo All-Americans,0,10,1923
Buffalo All-Americans,13, Rochester Jeffersons,0,10,1923
Canton Bulldogs,14, Buffalo All-Americans,0,10,1923
Canton Bulldogs,28, Toledo Maroons,0,10,1923
Chicago Bears,0, Milwaukee Badgers,0,10,1923
Chicago Bears,3, Chicago Cardinals,0,10,1923
Chicago Cardinals,22, Oorang Indians,19,10,1923
Columbus Tigers,30, Dayton Triangles,3,10,1923
Green Bay Packers,19, Hammond Pros,0,10,1923
Milwaukee Badgers,16, Racine Legion,0,10,1923
Racine Legion,23, Minneapolis Marines,0,10,1923
Canton Bulldogs,10, Columbus Tigers,0,11,1923
Chicago Bears,29, Rock Island Independents,7,11,1923
Milwaukee Badgers,14, Chicago Cardinals,12,11,1923
Oorang Indians,19, Louisville Brecks,0,11,1923
Chicago Cardinals,17, Milwaukee Badgers,7,01,1924
Duluth Kelleys,6, Green Bay Packers,3,01,1924
Frankford Yellow Jackets,21, Rochester Jeffersons,0,01,1924
Racine Legion,10, Hammond Pros,0,01,1924
Rock Island Independents,0, Chicago Bears,0,01,1924
Akron Pros,3, Rochester Jeffersons,0,02,1924
Buffalo Bisons,13, Columbus Tigers,0,02,1924
Chicago Cardinals,3, Green Bay Packers,0,02,1924
Cleveland Bulldogs,16, Chicago Bears,14,02,1924
Dayton Triangles,19, Frankford Yellow Jackets,7,02,1924
Duluth Kelleys,3, Minneapolis Marines,0,02,1924
Frankford Yellow Jackets,31, Kenosha Maroons,6,02,1924
Milwaukee Badgers,3, Kansas City Blues,0,02,1924
Rock Island Independents,9, Racine Legion,0,02,1924
Chicago Bears,10, Racine Legion,10,03,1924
Chicago Cardinals,13, Minneapolis Marines,0,03,1924
Cleveland Bulldogs,29, Akron Pros,14,03,1924
Columbus Tigers,15, Rochester Jeffersons,7,03,1924
Dayton Triangles,7, Buffalo Bisons,0,03,1924
Frankford Yellow Jackets,3, Cleveland Bulldogs,3,03,1924
Green Bay Packers,16, Kansas City Blues,0,03,1924
Milwaukee Badgers,21, Kenosha Maroons,0,03,1924
Rock Island Independents,26, Hammond Pros,0,03,1924
Buffalo Bisons,26, Rochester Jeffersons,0,04,1924
Chicago Bears,6, Chicago Cardinals,0,04,1924
Frankford Yellow Jackets,23, Columbus Tigers,7,04,1924
Green Bay Packers,17, Milwaukee Badgers,0,04,1924
Kenosha Maroons,6, Hammond Pros,6,04,1924
Racine Legion,13, Kansas City Blues,3,04,1924
Rock Island Independents,20, Dayton Triangles,0,04,1924
Buffalo Bisons,17, Akron Pros,13,05,1924
Chicago Bears,33, Frankford Yellow Jackets,3,05,1924
Cleveland Bulldogs,59, Rochester Jeffersons,0,05,1924
Columbus Tigers,17, Dayton Triangles,6,05,1924
Duluth Kelleys,32, Kenosha Maroons,0,05,1924
Green Bay Packers,19, Minneapolis Marines,0,05,1924
Hammond Pros,6, Chicago Cardinals,3,05,1924
Kansas City Blues,23, Rock Island Independents,7,05,1924
Racine Legion,10, Milwaukee Badgers,0,05,1924
Chicago Bears,3, Rock Island Independents,3,06,1924
Cleveland Bulldogs,35, Dayton Triangles,0,06,1924
Columbus Tigers,30, Akron Pros,0,06,1924
Duluth Kelleys,6, Minneapolis Marines,0,06,1924
Frankford Yellow Jackets,23, Akron Pros,0,06,1924
Frankford Yellow Jackets,24, Buffalo Bisons,0,06,1924
Green Bay Packers,6, Racine Legion,3,06,1924
Hammond Pros,6, Kansas City Blues,0,06,1924
Milwaukee Badgers,17, Chicago Cardinals,8,06,1924
Buffalo Bisons,27, Kenosha Maroons,0,07,1924
Chicago Bears,12, Columbus Tigers,6,07,1924
Chicago Cardinals,23, Dayton Triangles,0,07,1924
Cleveland Bulldogs,20, Akron Pros,7,07,1924
Frankford Yellow Jackets,42, Kansas City Blues,7,07,1924
Green Bay Packers,13, Duluth Kelleys,0,07,1924
Kansas City Blues,7, Milwaukee Badgers,3,07,1924
Milwaukee Badgers,28, Minneapolis Marines,7,07,1924
Rock Island Independents,6, Racine Legion,3,07,1924
Buffalo Bisons,14, Dayton Triangles,6,08,1924
Chicago Bears,3, Racine Legion,3,08,1924
Chicago Cardinals,13, Akron Pros,0,08,1924
Columbus Tigers,16, Rochester Jeffersons,0,08,1924
Frankford Yellow Jackets,39, Minneapolis Marines,7,08,1924
Frankford Yellow Jackets,12, Cleveland Bulldogs,7,08,1924
Green Bay Packers,17, Milwaukee Badgers,10,08,1924
Rock Island Independents,17, Kansas City Blues,0,08,1924
Buffalo Bisons,16, Rochester Jeffersons,0,09,1924
Chicago Bears,3, Green Bay Packers,0,09,1924
Chicago Cardinals,10, Racine Legion,10,09,1924
Cleveland Bulldogs,7, Columbus Tigers,0,09,1924
Duluth Kelleys,9, Rock Island Independents,0,09,1924
Frankford Yellow Jackets,21, Milwaukee Badgers,6,09,1924
Milwaukee Badgers,23, Buffalo Bisons,0,09,1924
Akron Pros,22, Buffalo Bisons,0,10,1924
Chicago Bears,31, Milwaukee Badgers,14,10,1924
Chicago Bears,21, Chicago Cardinals,0,10,1924
Cleveland Bulldogs,53, Milwaukee Badgers,10,10,1924
Frankford Yellow Jackets,32, Dayton Triangles,7,10,1924
Frankford Yellow Jackets,45, Buffalo Bisons,7,10,1924
Green Bay Packers,17, Kansas City Blues,6,10,1924
Racine Legion,7, Green Bay Packers,0,10,1924
Green Bay Packers,14, Hammond Pros,0,01,1925
Rock Island Independents,0, Chicago Bears,0,01,1925
Akron Pros,7, Cleveland Bulldogs,0,02,1925
Canton Bulldogs,14, Rochester Jeffersons,7,02,1925
Detroit Panthers,7, Columbus Tigers,0,02,1925
Frankford Yellow Jackets,27, Buffalo Bisons,7,02,1925
Green Bay Packers,14, Chicago Bears,10,02,1925
Hammond Pros,10, Chicago Cardinals,6,02,1925
Kansas City Cowboys,3, Duluth Kelleys,0,02,1925
Pottsville Maroons,28, Buffalo Bisons,0,02,1925
Rock Island Independents,0, Dayton Triangles,0,02,1925
Akron Pros,14, Kansas City Cowboys,7,03,1925
Buffalo Bisons,0, Rochester Jeffersons,0,03,1925
Canton Bulldogs,14, Dayton Triangles,0,03,1925
Chicago Cardinals,34, Milwaukee Badgers,0,03,1925
Cleveland Bulldogs,3, Columbus Tigers,0,03,1925
Detroit Panthers,0, Chicago Bears,0,03,1925
Frankford Yellow Jackets,7, Providence Steam Roller,0,03,1925
Providence Steam Roller,6, Pottsville Maroons,0,03,1925
Rock Island Independents,3, Green Bay Packers,0,03,1925
Buffalo Bisons,0, Akron Pros,0,04,1925
Chicago Bears,28, Hammond Pros,7,04,1925
Chicago Cardinals,19, Columbus Tigers,9,04,1925
Cleveland Bulldogs,16, Kansas City Cowboys,13,04,1925
Detroit Panthers,3, Frankford Yellow Jackets,0,04,1925
Frankford Yellow Jackets,12, Canton Bulldogs,7,04,1925
Green Bay Packers,31, Milwaukee Badgers,0,04,1925
Pottsville Maroons,28, Canton Bulldogs,0,04,1925
Providence Steam Roller,14, New York Giants,0,04,1925
Rock Island Independents,12, Duluth Kelleys,0,04,1925
Akron Pros,20, Canton Bulldogs,3,05,1925
Buffalo Bisons,17, Columbus Tigers,6,05,1925
Chicago Bears,7, Cleveland Bulldogs,0,05,1925
Chicago Cardinals,20, Kansas City Cowboys,7,05,1925
Detroit Panthers,6, Dayton Triangles,0,05,1925
Frankford Yellow Jackets,5, New York Giants,3,05,1925
Frankford Yellow Jackets,14, New York Giants,0,05,1925
Green Bay Packers,20, Rock Island Independents,0,05,1925
Pottsville Maroons,34, Providence Steam Roller,0,05,1925
Chicago Cardinals,9, Chicago Bears,0,06,1925
Detroit Panthers,0, Akron Pros,0,06,1925
Frankford Yellow Jackets,3, Dayton Triangles,0,06,1925
Green Bay Packers,33, Rochester Jeffersons,13,06,1925
Rock Island Independents,3, Kansas City Cowboys,3,06,1925
Akron Pros,17, Dayton Triangles,3,07,1925
Chicago Bears,6, Rock Island Independents,0,07,1925
Chicago Cardinals,10, Duluth Kelleys,6,07,1925
Detroit Panthers,26, Hammond Pros,6,07,1925
Frankford Yellow Jackets,19, Columbus Tigers,0,07,1925
Frankford Yellow Jackets,12, Buffalo Bisons,3,07,1925
Green Bay Packers,6, Milwaukee Badgers,0,07,1925
New York Giants,19, Cleveland Bulldogs,0,07,1925
New York Giants,7, Buffalo Bisons,0,07,1925
Pottsville Maroons,20, Columbus Tigers,0,07,1925
Providence Steam Roller,17, Rochester Jeffersons,0,07,1925
Canton Bulldogs,6, Cleveland Bulldogs,0,08,1925
Chicago Bears,19, Frankford Yellow Jackets,0,08,1925
Chicago Cardinals,9, Green Bay Packers,6,08,1925
Detroit Panthers,21, Milwaukee Badgers,0,08,1925
Frankford Yellow Jackets,17, Akron Pros,7,08,1925
New York Giants,19, Columbus Tigers,0,08,1925
Pottsville Maroons,21, Akron Pros,0,08,1925
Providence Steam Roller,10, Buffalo Bisons,0,08,1925
Chicago Bears,14, Detroit Panthers,0,09,1925
Chicago Cardinals,23, Buffalo Bisons,6,09,1925
Detroit Panthers,22, Cleveland Bulldogs,13,09,1925
Frankford Yellow Jackets,20, Pottsville Maroons,0,09,1925
Green Bay Packers,7, Dayton Triangles,0,09,1925
New York Giants,13, Rochester Jeffersons,0,09,1925
New York Giants,13, Providence Steam Roller,12,09,1925
Pottsville Maroons,14, Rochester Jeffersons,6,09,1925
Rock Island Independents,35, Kansas City Cowboys,12,09,1925
Canton Bulldogs,6, Columbus Tigers,0,10,1925
Chicago Bears,21, Green Bay Packers,0,10,1925
Chicago Cardinals,14, Dayton Triangles,0,10,1925
Cleveland Bulldogs,14, Frankford Yellow Jackets,0,10,1925
Detroit Panthers,9, Rochester Jeffersons,3,10,1925
New York Giants,9, Kansas City Cowboys,3,10,1925
Pottsville Maroons,24, Cleveland Bulldogs,6,10,1925
Providence Steam Roller,20, Frankford Yellow Jackets,7,10,1925
Rock Island Independents,40, Milwaukee Badgers,7,10,1925
Chicago Bears,14, Columbus Tigers,13,11,1925
Chicago Bears,0, Chicago Cardinals,0,11,1925
Chicago Cardinals,7, Rock Island Independents,0,11,1925
Frankford Yellow Jackets,13, Green Bay Packers,7,11,1925
Kansas City Cowboys,17, Cleveland Bulldogs,0,11,1925
New York Giants,23, Dayton Triangles,0,11,1925
Pottsville Maroons,31, Green Bay Packers,0,11,1925
Pottsville Maroons,49, Frankford Yellow Jackets,0,11,1925
Providence Steam Roller,7, Cleveland Bulldogs,7,11,1925
Rock Island Independents,6, Detroit Panthers,3,11,1925
Chicago Bears,19, New York Giants,7,12,1925
Chicago Bears,14, Frankford Yellow Jackets,7,12,1925
Cleveland Bulldogs,6, Canton Bulldogs,0,12,1925
Green Bay Packers,13, Providence Steam Roller,10,12,1925
Pottsville Maroons,21, Chicago Cardinals,7,12,1925
Chicago Cardinals,58, Milwaukee Badgers,0,13,1925
Chicago Cardinals,13, Hammond Pros,0,13,1925
Cleveland Bulldogs,3, Frankford Yellow Jackets,0,13,1925
Detroit Panthers,21, Chicago Bears,0,13,1925
Frankford Yellow Jackets,14, Providence Steam Roller,6,13,1925
New York Giants,9, Chicago Bears,0,13,1925
Providence Steam Roller,9, Chicago Bears,6,13,1925
Frankford Yellow Jackets,12, Cleveland Bulldogs,7,14,1925
Chicago Bears,10, Milwaukee Badgers,7,01,1926
Chicago Cardinals,14, Columbus Tigers,0,01,1926
Duluth Eskimos,8, Kansas City Cowboys,0,01,1926
Green Bay Packers,21, Detroit Panthers,0,01,1926
Buffalo Rangers,7, Akron Indians,0,02,1926
Chicago Cardinals,15, Los Angeles Buccaneers,0,02,1926
Columbus Tigers,14, Canton Bulldogs,2,02,1926
Frankford Yellow Jackets,6, Akron Indians,6,02,1926
Green Bay Packers,6, Chicago Bears,6,02,1926
Milwaukee Badgers,6, Detroit Panthers,0,02,1926
New York Giants,21, Hartford Blues,0,02,1926
Providence Steam Roller,13, Brooklyn Lions,0,02,1926
Racine Tornadoes,6, Hammond Pros,3,02,1926
Akron Indians,17, Hammond Pros,0,03,1926
Canton Bulldogs,13, Louisville Colonels,0,03,1926
Chicago Bears,10, Detroit Panthers,7,03,1926
Chicago Cardinals,20, Racine Tornadoes,0,03,1926
Dayton Triangles,3, Buffalo Rangers,0,03,1926
Frankford Yellow Jackets,10, Hartford Blues,0,03,1926
Frankford Yellow Jackets,13, Hartford Blues,0,03,1926
Green Bay Packers,0, Duluth Eskimos,0,03,1926
Los Angeles Buccaneers,6, Milwaukee Badgers,0,03,1926
Pottsville Maroons,3, Columbus Tigers,0,03,1926
Akron Indians,0, Canton Bulldogs,0,04,1926
Brooklyn Lions,6, Hartford Blues,0,04,1926
Chicago Bears,7, New York Giants,0,04,1926
Chicago Cardinals,13, Green Bay Packers,7,04,1926
Detroit Panthers,10, Kansas City Cowboys,0,04,1926
Duluth Eskimos,26, Hammond Pros,0,04,1926
Frankford Yellow Jackets,30, Buffalo Rangers,0,04,1926
Milwaukee Badgers,13, Racine Tornadoes,2,04,1926
Pottsville Maroons,24, Dayton Triangles,6,04,1926
Providence Steam Roller,19, Columbus Tigers,0,04,1926
Buffalo Rangers,7, Dayton Triangles,6,05,1926
Chicago Bears,16, Chicago Cardinals,0,05,1926
Detroit Panthers,47, Louisville Colonels,0,05,1926
Duluth Eskimos,21, Racine Tornadoes,0,05,1926
Frankford Yellow Jackets,6, New York Giants,0,05,1926
Frankford Yellow Jackets,6, New York Giants,0,05,1926
Green Bay Packers,7, Milwaukee Badgers,0,05,1926
Kansas City Cowboys,9, Columbus Tigers,0,05,1926
Los Angeles Buccaneers,16, Canton Bulldogs,13,05,1926
Pottsville Maroons,14, Brooklyn Lions,0,05,1926
Pottsville Maroons,21, Brooklyn Lions,0,05,1926
Brooklyn Lions,20, Columbus Tigers,12,06,1926
Buffalo Rangers,0, Los Angeles Buccaneers,0,06,1926
Chicago Bears,24, Duluth Eskimos,6,06,1926
Chicago Cardinals,3, Milwaukee Badgers,2,06,1926
