gameorder,game_id,lg_id,is_copy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,msf_game_id
59230,201211020CLE,NBA,0,2013,2012-11-02,2,0,CLE,Cavaliers,86,1357.5148,1345.7418,CHI,Bulls,115,1598.849,1610.6219,H,L,NA
59230,201211020CLE,NBA,1,2013,2012-11-02,2,0,CHI,Bulls,115,1598.849,1610.6219,CLE,Cavaliers,86,1357.5148,1345.7418,A,W,NA
59231,201211020GSW,NBA,0,2013,2012-11-02,2,0,GSW,Warriors,94,1430.105,1421.2677,MEM,Grizzlies,104,1571.9635,1580.8008,H,L,NA
59231,201211020GSW,NBA,1,2013,2012-11-02,2,0,MEM,Grizzlies,104,1571.9635,1580.8008,GSW,Warriors,94,1430.105,1421.2677,A,W,NA
59232,201211020LAL,NBA,0,2013,2012-11-02,3,0,LAL,Lakers,95,1531.7184,1518.7981,LAC,Clippers,105,1567.9476,1580.8679,H,L,NA
59232,201211020LAL,NBA,1,2013,2012-11-02,2,0,LAC,Clippers,105,1567.9476,1580.8679,LAL,Lakers,95,1531.7184,1518.7981,A,W,NA
59233,201211020MIN,NBA,1,2013,2012-11-02,2,0,SAC,Kings,80,1415.1243,1407.2527,MIN,Timberwolves,92,1411.7732,1419.6448,A,L,NA
59233,201211020MIN,NBA,0,2013,2012-11-02,1,0,MIN,Timberwolves,92,1411.7732,1419.6448,SAC,Kings,80,1415.1243,1407.2527,H,W,NA
59234,201211020NOH,NBA,1,2013,2012-11-02,2,0,UTA,Jazz,86,1542.9183,1538.1984,NOP,Pelicans,88,1449.2499,1453.9698,A,L,NA
59234,201211020NOH,NBA,0,2013,2012-11-02,2,0,NOP,Pelicans,88,1449.2499,1453.9698,UTA,Jazz,86,1542.9183,1538.1984,H,W,NA
59235,201211020NYK,NBA,0,2013,2012-11-02,1,0,NYK,Knicks,104,1529.618,1548.2699,MIA,Heat,84,1666.3193,1647.6675,H,W,NA
59235,201211020NYK,NBA,1,2013,2012-11-02,2,0,MIA,Heat,84,1666.3193,1647.6675,NYK,Knicks,104,1529.618,1548.2699,A,L,NA
59236,201211020OKC,NBA,0,2013,2012-11-02,2,0,OKL,Thunder,106,1656.1981,1659.4091,POR,Trail Blazers,92,1460.7015,1457.4906,H,W,NA
59236,201211020OKC,NBA,1,2013,2012-11-02,2,0,POR,Trail Blazers,92,1460.7015,1457.4906,OKL,Thunder,106,1656.1981,1659.4091,A,L,NA
59237,201211020ORL,NBA,0,2013,2012-11-02,1,0,ORL,Magic,102,1478.0159,1489.8534,DEN,Nuggets,89,1568.7308,1556.8933,H,W,NA
59237,201211020ORL,NBA,1,2013,2012-11-02,2,0,DEN,Nuggets,89,1568.7308,1556.8933,ORL,Magic,102,1478.0159,1489.8534,A,L,NA
59238,201211020PHO,NBA,0,2013,2012-11-02,2,0,PHX,Suns,92,1521.2568,1523.5597,DET,Pistons,89,1420.1541,1417.8512,H,W,NA
59238,201211020PHO,NBA,1,2013,2012-11-02,2,0,DET,Pistons,89,1420.1541,1417.8512,PHX,Suns,92,1521.2568,1523.5597,A,L,NA
59239,201211030BRK,NBA,1,2013,2012-11-03,2,0,TOR,Raptors,100,1432.9348,1425.674,BRO,Nets,107,1371.431,1378.6919,A,L,NA
59239,201211030BRK,NBA,0,2013,2012-11-03,1,0,BRO,Nets,107,1371.431,1378.6919,TOR,Raptors,100,1432.9348,1425.674,H,W,NA
59240,201211030CHI,NBA,0,2013,2012-11-03,3,0,CHI,Bulls,82,1610.6219,1593.3835,NOP,Pelicans,89,1453.9698,1471.2083,H,L,NA
59240,201211030CHI,NBA,1,2013,2012-11-03,3,0,NOP,Pelicans,89,1453.9698,1471.2083,CHI,Bulls,82,1610.6219,1593.3835,A,W,NA
59241,201211030DAL,NBA,0,2013,2012-11-03,3,0,DAL,Mavericks,126,1523.317,1526.5341,CHA,Hornets,99,1247.7948,1244.5778,H,W,NA
59241,201211030DAL,NBA,1,2013,2012-11-03,2,0,CHA,Hornets,99,1247.7948,1244.5778,DAL,Mavericks,126,1523.317,1526.5341,A,L,NA
59242,201211030HOU,NBA,1,2013,2012-11-03,3,0,POR,Trail Blazers,95,1457.4906,1474.8397,HOU,Rockets,85,1524.9491,1507.6,A,W,NA
59242,201211030HOU,NBA,0,2013,2012-11-03,3,0,HOU,Rockets,85,1524.9491,1507.6,POR,Trail Blazers,95,1457.4906,1474.8397,H,L,NA
59243,201211030IND,NBA,0,2013,2012-11-03,3,0,IND,Pacers,106,1558.3599,1561.2434,SAC,Kings,98,1407.2527,1404.3691,H,W,NA
59243,201211030IND,NBA,1,2013,2012-11-03,3,0,SAC,Kings,98,1407.2527,1404.3691,IND,Pacers,106,1558.3599,1561.2434,A,L,NA
59244,201211030LAC,NBA,1,2013,2012-11-03,3,0,GSW,Warriors,114,1421.2677,1434.3062,LAC,Clippers,110,1580.8679,1567.8295,A,W,NA
59244,201211030LAC,NBA,0,2013,2012-11-03,3,0,LAC,Clippers,110,1580.8679,1567.8295,GSW,Warriors,114,1421.2677,1434.3062,H,L,NA
59245,201211030MIA,NBA,1,2013,2012-11-03,3,0,DEN,Nuggets,116,1556.8933,1554.4674,MIA,Heat,119,1647.6675,1650.0934,A,L,NA
59245,201211030MIA,NBA,0,2013,2012-11-03,3,0,MIA,Heat,119,1647.6675,1650.0934,DEN,Nuggets,116,1556.8933,1554.4674,H,W,NA
59246,201211030MIL,NBA,0,2013,2012-11-03,2,0,MIL,Bucks,105,1520.3861,1521.9506,CLE,Cavaliers,102,1345.7418,1344.1774,H,W,NA
59246,201211030MIL,NBA,1,2013,2012-11-03,3,0,CLE,Cavaliers,102,1345.7418,1344.1774,MIL,Bucks,105,1520.3861,1521.9506,A,L,NA
59247,201211030SAS,NBA,1,2013,2012-11-03,3,0,UTA,Jazz,100,1538.1984,1534.7893,SAS,Spurs,110,1682.9431,1686.3522,A,L,NA
59247,201211030SAS,NBA,0,2013,2012-11-03,3,0,SAS,Spurs,110,1682.9431,1686.3522,UTA,Jazz,100,1538.1984,1534.7893,H,W,NA
59248,201211030WAS,NBA,0,2013,2012-11-03,2,0,WAS,Wizards,86,1440.3092,1435.2531,BOS,Celtics,89,1566.8929,1571.9491,H,L,NA
59248,201211030WAS,NBA,1,2013,2012-11-03,3,0,BOS,Celtics,89,1566.8929,1571.9491,WAS,Wizards,86,1440.3092,1435.2531,A,W,NA
59249,201211040LAL,NBA,0,2013,2012-11-04,4,0,LAL,Lakers,108,1518.7981,1527.5927,DET,Pistons,79,1417.8512,1409.0566,H,W,NA
59249,201211040LAL,NBA,1,2013,2012-11-04,3,0,DET,Pistons,79,1417.8512,1409.0566,LAL,Lakers,108,1518.7981,1527.5927,A,L,NA
59250,201211040NYK,NBA,0,2013,2012-11-04,2,0,NYK,Knicks,100,1548.2699,1557.5126,PHI,76ers,84,1545.1703,1535.9276,H,W,NA
59250,201211040NYK,NBA,1,2013,2012-11-04,2,0,PHI,76ers,84,1545.1703,1535.9276,NYK,Knicks,100,1548.2699,1557.5126,A,L,NA
59251,201211040OKC,NBA,0,2013,2012-11-04,3,0,OKL,Thunder,95,1659.4091,1640.704,ATL,Hawks,104,1532.7664,1551.4714,H,L,NA
59251,201211040OKC,NBA,1,2013,2012-11-04,2,0,ATL,Hawks,104,1532.7664,1551.4714,OKL,Thunder,95,1659.4091,1640.704,A,W,NA
59252,201211040ORL,NBA,0,2013,2012-11-04,2,0,ORL,Magic,115,1489.8534,1502.9133,PHX,Suns,94,1523.5597,1510.4998,H,W,NA
59252,201211040ORL,NBA,1,2013,2012-11-04,3,0,PHX,Suns,94,1523.5597,1510.4998,ORL,Magic,115,1489.8534,1502.9133,A,L,NA
59253,201211040TOR,NBA,1,2013,2012-11-04,2,0,MIN,Timberwolves,86,1419.6448,1409.3867,TOR,Raptors,105,1425.674,1435.932,A,L,NA
59253,201211040TOR,NBA,0,2013,2012-11-04,3,0,TOR,Raptors,105,1425.674,1435.932,MIN,Timberwolves,86,1419.6448,1409.3867,H,W,NA
59254,201211050BRK,NBA,1,2013,2012-11-05,3,0,MIN,Timberwolves,107,1409.3867,1423.3395,BRO,Nets,96,1378.6919,1364.7391,A,W,NA
59254,201211050BRK,NBA,0,2013,2012-11-05,2,0,BRO,Nets,96,1378.6919,1364.7391,MIN,Timberwolves,107,1409.3867,1423.3395,H,L,NA
59255,201211050DAL,NBA,0,2013,2012-11-05,4,0,DAL,Mavericks,114,1526.5341,1536.0272,POR,Trail Blazers,91,1474.8397,1465.3466,H,W,NA
59255,201211050DAL,NBA,1,2013,2012-11-05,4,0,POR,Trail Blazers,91,1474.8397,1465.3466,DAL,Mavericks,114,1526.5341,1536.0272,A,L,NA
59256,201211050LAC,NBA,0,2013,2012-11-05,4,0,LAC,Clippers,101,1567.8295,1548.1755,CLE,Cavaliers,108,1344.1774,1363.8313,H,L,NA
59256,201211050LAC,NBA,1,2013,2012-11-05,4,0,CLE,Cavaliers,108,1344.1774,1363.8313,LAC,Clippers,101,1567.8295,1548.1755,A,W,NA
59257,201211050MEM,NBA,0,2013,2012-11-05,3,0,MEM,Grizzlies,103,1580.8008,1586.0551,UTA,Jazz,94,1534.7893,1529.535,H,W,NA
59257,201211050MEM,NBA,1,2013,2012-11-05,4,0,UTA,Jazz,94,1534.7893,1529.535,MEM,Grizzlies,103,1580.8008,1586.0551,A,L,NA
59258,201211050MIA,NBA,0,2013,2012-11-05,4,0,MIA,Heat,124,1650.0934,1656.5652,PHX,Suns,99,1510.4998,1504.028,H,W,NA
59258,201211050MIA,NBA,1,2013,2012-11-05,4,0,PHX,Suns,99,1510.4998,1504.028,MIA,Heat,124,1650.0934,1656.5652,A,L,NA
59259,201211050PHI,NBA,1,2013,2012-11-05,3,0,NYK,Knicks,110,1557.5126,1580.3411,PHI,76ers,88,1535.9276,1513.0991,A,W,NA
59259,201211050PHI,NBA,0,2013,2012-11-05,3,0,PHI,76ers,88,1535.9276,1513.0991,NYK,Knicks,110,1557.5126,1580.3411,H,L,NA
59260,201211050SAC,NBA,0,2013,2012-11-05,4,0,SAC,Kings,94,1404.3691,1408.0342,GSW,Warriors,92,1434.3062,1430.6411,H,W,NA
59260,201211050SAC,NBA,1,2013,2012-11-05,4,0,GSW,Warriors,92,1434.3062,1430.6411,SAC,Kings,94,1404.3691,1408.0342,A,L,NA
59261,201211050SAS,NBA,0,2013,2012-11-05,4,0,SAS,Spurs,101,1686.3522,1692.7286,IND,Pacers,79,1561.2434,1554.8669,H,W,NA
59261,201211050SAS,NBA,1,2013,2012-11-05,4,0,IND,Pacers,79,1561.2434,1554.8669,SAS,Spurs,101,1686.3522,1692.7286,A,L,NA
59262,201211060CHI,NBA,1,2013,2012-11-06,3,0,ORL,Magic,93,1502.9133,1499.5527,CHI,Bulls,99,1593.3835,1596.7441,A,L,NA
59262,201211060CHI,NBA,0,2013,2012-11-06,4,0,CHI,Bulls,99,1593.3835,1596.7441,ORL,Magic,93,1502.9133,1499.5527,H,W,NA
59263,201211060DEN,NBA,1,2013,2012-11-06,4,0,DET,Pistons,97,1409.0566,1405.2476,DEN,Nuggets,109,1554.4674,1558.2765,A,L,NA
59263,201211060DEN,NBA,0,2013,2012-11-06,4,0,DEN,Nuggets,109,1554.4674,1558.2765,DET,Pistons,97,1409.0566,1405.2476,H,W,NA
59264,201211060OKC,NBA,1,2013,2012-11-06,4,0,TOR,Raptors,88,1435.932,1432.0472,OKL,Thunder,108,1640.704,1644.5887,A,L,NA
59264,201211060OKC,NBA,0,2013,2012-11-06,4,0,OKL,Thunder,108,1640.704,1644.5887,TOR,Raptors,88,1435.932,1432.0472,H,W,NA
59265,201211070ATL,NBA,0,2013,2012-11-07,3,0,ATL,Hawks,89,1551.4714,1555.2542,IND,Pacers,86,1554.8669,1551.0842,H,W,NA
59265,201211070ATL,NBA,1,2013,2012-11-07,5,0,IND,Pacers,86,1554.8669,1551.0842,ATL,Hawks,89,1551.4714,1555.2542,A,L,NA
59266,201211070BOS,NBA,0,2013,2012-11-07,4,0,BOS,Celtics,100,1571.9491,1574.5995,WAS,Wizards,94,1435.2531,1432.6027,H,W,NA
59266,201211070BOS,NBA,1,2013,2012-11-07,3,0,WAS,Wizards,94,1435.2531,1432.6027,BOS,Celtics,100,1571.9491,1574.5995,A,L,NA
59267,201211070CHA,NBA,0,2013,2012-11-07,3,0,CHA,Hornets,110,1244.5778,1240.3191,PHX,Suns,117,1504.028,1508.2866,H,L,NA
59267,201211070CHA,NBA,1,2013,2012-11-07,5,0,PHX,Suns,117,1504.028,1508.2866,CHA,Hornets,110,1244.5778,1240.3191,A,W,NA
59268,201211070DAL,NBA,0,2013,2012-11-07,5,0,DAL,Mavericks,109,1536.0272,1538.884,TOR,Raptors,104,1432.0472,1429.1904,H,W,NA
59268,201211070DAL,NBA,1,2013,2012-11-07,5,0,TOR,Raptors,104,1432.0472,1429.1904,DAL,Mavericks,109,1536.0272,1538.884,A,L,NA
59269,201211070GSW,NBA,1,2013,2012-11-07,5,0,CLE,Cavaliers,96,1363.8313,1358.7621,GSW,Warriors,106,1430.6411,1435.7103,A,L,NA
59269,201211070GSW,NBA,0,2013,2012-11-07,5,0,GSW,Warriors,106,1430.6411,1435.7103,CLE,Cavaliers,96,1363.8313,1358.7621,H,W,NA
59270,201211070HOU,NBA,1,2013,2012-11-07,5,0,DEN,Nuggets,93,1558.2765,1567.4622,HOU,Rockets,87,1507.6,1498.4143,A,W,NA
59270,201211070HOU,NBA,0,2013,2012-11-07,4,0,HOU,Rockets,87,1507.6,1498.4143,DEN,Nuggets,93,1558.2765,1567.4622,H,L,NA
59271,201211070LAC,NBA,1,2013,2012-11-07,5,0,SAS,Spurs,84,1692.7286,1672.2556,LAC,Clippers,106,1548.1755,1568.6486,A,L,NA
59271,201211070LAC,NBA,0,2013,2012-11-07,5,0,LAC,Clippers,106,1548.1755,1568.6486,SAS,Spurs,84,1692.7286,1672.2556,H,W,NA
59272,201211070MIA,NBA,1,2013,2012-11-07,3,0,BRO,Nets,73,1364.7391,1361.5804,MIA,Heat,103,1656.5652,1659.7239,A,L,NA
59272,201211070MIA,NBA,0,2013,2012-11-07,5,0,MIA,Heat,103,1656.5652,1659.7239,BRO,Nets,73,1364.7391,1361.5804,H,W,NA
59273,201211070MIL,NBA,1,2013,2012-11-07,4,0,MEM,Grizzlies,108,1586.0551,1603.3502,MIL,Bucks,90,1521.9506,1504.6554,A,W,NA
59273,201211070MIL,NBA,0,2013,2012-11-07,3,0,MIL,Bucks,90,1521.9506,1504.6554,MEM,Grizzlies,108,1586.0551,1603.3502,H,L,NA
59274,201211070MIN,NBA,1,2013,2012-11-07,4,0,ORL,Magic,75,1499.5527,1487.2438,MIN,Timberwolves,90,1423.3395,1435.6484,A,L,NA
59274,201211070MIN,NBA,0,2013,2012-11-07,4,0,MIN,Timberwolves,90,1423.3395,1435.6484,ORL,Magic,75,1499.5527,1487.2438,H,W,NA
59275,201211070NOH,NBA,0,2013,2012-11-07,4,0,NOP,Pelicans,62,1471.2083,1454.7487,PHI,76ers,77,1513.0991,1529.5587,H,L,NA
59275,201211070NOH,NBA,1,2013,2012-11-07,4,0,PHI,76ers,77,1513.0991,1529.5587,NOP,Pelicans,62,1471.2083,1454.7487,A,W,NA
59276,201211070SAC,NBA,1,2013,2012-11-07,5,0,DET,Pistons,103,1405.2476,1402.0664,SAC,Kings,105,1408.0342,1411.2153,A,L,NA
59276,201211070SAC,NBA,0,2013,2012-11-07,5,0,SAC,Kings,105,1408.0342,1411.2153,DET,Pistons,103,1405.2476,1402.0664,H,W,NA
59277,201211070UTA,NBA,0,2013,2012-11-07,5,0,UTA,Jazz,95,1529.535,1535.9674,LAL,Lakers,86,1527.5927,1521.1603,H,W,NA
59277,201211070UTA,NBA,1,2013,2012-11-07,5,0,LAL,Lakers,86,1527.5927,1521.1603,UTA,Jazz,95,1529.535,1535.9674,A,L,NA
59278,201211080CHI,NBA,0,2013,2012-11-08,5,0,CHI,Bulls,91,1596.7441,1587.4724,OKL,Thunder,97,1644.5887,1653.8605,H,L,NA
59278,201211080CHI,NBA,1,2013,2012-11-08,5,0,OKL,Thunder,97,1644.5887,1653.8605,CHI,Bulls,91,1596.7441,1587.4724,A,W,NA
59279,201211080POR,NBA,0,2013,2012-11-08,5,0,POR,Trail Blazers,90,1465.3466,1453.2422,LAC,Clippers,103,1568.6486,1580.7529,H,L,NA
59279,201211080POR,NBA,1,2013,2012-11-08,6,0,LAC,Clippers,103,1568.6486,1580.7529,POR,Trail Blazers,90,1465.3466,1453.2422,A,W,NA
59280,201211090ATL,NBA,0,2013,2012-11-09,4,0,ATL,Hawks,89,1555.2542,1547.6481,MIA,Heat,95,1659.7239,1667.33,H,L,NA
59280,201211090ATL,NBA,1,2013,2012-11-09,6,0,MIA,Heat,95,1659.7239,1667.33,ATL,Hawks,89,1555.2542,1547.6481,A,W,NA
59281,201211090BOS,NBA,0,2013,2012-11-09,5,0,BOS,Celtics,100,1574.5995,1562.3982,PHI,76ers,106,1529.5587,1541.76,H,L,NA
59281,201211090BOS,NBA,1,2013,2012-11-09,5,0,PHI,76ers,106,1529.5587,1541.76,BOS,Celtics,100,1574.5995,1562.3982,A,W,NA
59282,201211090DEN,NBA,1,2013,2012-11-09,6,0,UTA,Jazz,84,1535.9674,1526.5023,DEN,Nuggets,104,1567.4622,1576.9272,A,L,NA
