lastName,firstName,POS,Team,FGA,FTA,REB,AST,PTS,TOV,STL,BLK,SEC
Chandler,Wilson,SF,Nuggets,537,102,331,137,627,81,35,33,117502
Chriss,Marquese,PF,Suns,383,121,319,70,429,86,42,59,76630
Clark,Ian,PG,Pelicans,399,52,108,89,444,47,25,10,72836
Clarkson,Jordan,SG,Cavaliers,825,164,198,204,977,116,48,4,95092
Clavell,Gian,SG,Mavericks,18,2,7,3,20,2,2,0,3818
Cleveland,Antonius,SG,Hawks,14,4,10,2,10,2,6,4,4860
Clifford,Steve,C,Hornets,0,0,0,0,0,0,0,0,1440
Collins,John,C,Hawks,467,161,456,70,674,88,40,69,89195
Collins,Zach,C,Trail Blazers,229,35,186,41,236,46,16,25,50527
Collinsworth,Kyle,PG,Mavericks,57,21,71,28,58,16,15,3,18627
Collison,Darren,PG,Pacers,533,130,148,300,724,70,80,13,101674
Collison,Nick,C,Thunder,19,8,19,4,30,7,0,0,4306
Conley,Mike,PG,Grizzlies,168,66,27,49,205,18,12,3,22395
Connaughton,Pat,SG,Trail Blazers,346,41,132,82,401,36,18,19,77088
Cook,Quinn,PG,Warriors,102,8,31,28,125,13,5,0,19503
Cooke,Charles,SG,Pelicans,10,2,1,1,6,1,1,0,1618
Cooley,Jack,PF,Kings,7,2,4,2,10,0,0,0,587
Costello,Matt,PF,Spurs,4,0,9,2,4,1,2,2,1932
Cousins,DeMarcus,C,Pelicans,864,394,619,257,1210,241,80,75,104235
Covington,Robert,SF,76ers,682,120,360,128,827,113,103,51,126236
Crabbe,Allen,SG,Nets,707,105,280,98,807,72,41,24,113318
Craig,Torrey,SF,Nuggets,98,29,84,17,120,11,8,7,26076
Crawford,Jamal,SG,Timberwolves,630,98,79,160,707,74,37,7,82373
Crawford,Jordan,SG,Pelicans,14,0,2,10,18,4,0,1,2239
Crowder,Jae,PF,Jazz,545,134,231,84,648,62,52,17,106639
Cunningham,Dante,SF,Nets,302,47,256,40,352,29,37,21,83040
Curry,Seth,PG,Mavericks,0,0,0,0,0,0,0,0,0
Curry,Stephen,PG,Warriors,846,296,254,308,1317,152,80,7,95919
Daniels,Troy,SG,Suns,485,57,98,46,592,47,23,5,83141
D'Antoni,Mike,C,Rockets,0,0,0,0,0,0,0,0,720
Da Silva Felicio,Cristiano,PF,Bulls,0,0,0,0,0,0,0,0,0
Davis,Anthony,PF,Pelicans,1225,492,707,147,1765,138,92,150,137929
Davis,Deyonta,C,Grizzlies,189,45,181,29,270,23,12,31,40192
