lastName,firstName,POS,Team,FGA,FTA,REB,AST,PTS,TOV,STL,BLK,SEC
McKinnie,Alfonso,PF,Raptors,13,3,6,1,19,3,1,1,2932
McLemore,Ben,SG,Grizzlies,275,46,99,42,316,47,30,13,49061
McMillan,Nate,C,Pacers,0,0,0,0,0,0,0,0,1440
McRoberts,Josh,PF,Mavericks,1,0,0,0,0,0,0,0,345
Meeks,Jodie,SG,Wizards,348,109,112,64,426,35,27,4,60519
Mejri,Salah,C,Mavericks,125,58,233,29,197,36,21,63,40086
Mickey,Jordan,PF,Heat,71,16,74,9,80,16,5,9,14947
Middleton,Khris,SG,Bucks,1065,304,359,273,1381,161,90,13,151144
Miles,CJ,SF,Raptors,506,83,126,42,624,30,35,19,67977
Miller,Darius,SF,Pelicans,407,59,136,94,550,49,22,16,99191
Miller,Malcolm,F,Raptors,28,4,16,3,38,4,1,2,7052
Mills,Patty,PG,Spurs,558,95,131,190,672,85,44,10,102998
Millsap,Elijah,SG,Suns,0,0,0,0,0,0,0,0,0
Millsap,Paul,PF,Nuggets,293,100,161,70,362,52,27,31,44365
Mirotic,Nikola,PF,Pelicans,534,120,311,66,676,56,35,32,70842
Mitchell,Donovan,SG,Jazz,1118,235,245,239,1333,183,97,25,132922
Mitrou-Long,Naz,G,Jazz,1,0,0,0,3,0,0,0,31
Monk,Malik,SG,Hornets,286,21,49,57,251,27,13,5,36973
Monroe,Greg,C,Celtics,281,81,261,73,390,71,29,18,47014
Montero,Luis,SG,Kings,1,0,2,0,0,2,0,0,477
Moore,Ben,F,Pacers,0,0,1,1,0,0,0,0,557
Moore,E'Twaun,SG,Pelicans,705,60,207,153,852,89,64,9,133282
Moreland,Eric,PF,Pistons,89,24,217,62,103,30,22,37,38704
Morris,Jaylen,C,Hawks,31,0,16,7,28,6,2,1,5909
Morris,Marcus,SF,Celtics,510,113,259,61,586,49,30,10,72166
Morris,Markieff,PF,Wizards,568,108,355,114,708,105,47,27,99363
Morris,Monte,PG,Nuggets,6,2,2,7,10,1,3,0,1517
Morrow,Anthony,SG,Bulls,0,0,0,0,0,0,0,0,0
Motley,Johnathan,PF,Mavericks,11,11,13,2,18,3,0,2,1828
Mozgov,Timofey,C,Nets,85,25,87,8,113,31,5,11,20316
Mudiay,Emmanuel,PG,Knicks,468,119,131,185,502,102,36,6,65900
Muhammad,Shabazz,SF,Bucks,130,34,49,8,132,6,6,2,19268
Munford,Xavier,SG,Bucks,6,2,1,4,3,2,1,0,1245
Murray,Dejounte,PG,Spurs,505,109,377,191,537,116,75,26,84415
Murray,Jamal,PG,Nuggets,879,204,250,218,1129,148,67,20,126609
Muscala,Mike,C,Hawks,215,47,166,34,285,31,26,21,44717
Nader,Abdel,SG,Celtics,103,33,52,20,114,24,9,6,22216
Nance Jr.,Larry,PF,Cavaliers,358,121,386,74,511,47,76,33,73496
Napier,Shabazz,PG,Trail Blazers,457,124,141,135,570,78,73,14,79213
Nelson,Jameer,PG,Pistons,244,20,103,179,247,68,27,4,60778
Nene,Maybyner,C,Rockets,0,0,0,0,0,0,0,0,0
Neto,Raul,PG,Jazz,147,33,47,72,179,32,11,4,28671
Niang,George,F,Jazz,4,0,1,2,4,2,2,0,701
Noah,Joakim,C,Knicks,10,4,14,4,12,4,2,2,2409
Noel,Nerlens,C,Mavericks,87,26,125,13,106,20,23,17,21710
Nogueira,Lucas,C,Raptors,67,24,77,17,104,14,19,34,20836
Nowitzki,Dirk,PF,Mavericks,685,102,392,109,852,47,40,37,102984
Ntilikina,Frank,PG,Knicks,399,67,142,210,372,112,57,14,83612
Nurkic,Jusuf,C,Trail Blazers,811,240,576,123,945,161,49,85,104634
Nwaba,David,SF,Bulls,294,168,256,73,430,56,47,25,77575
O'Bryant III,Johnny,PF,Hornets,171,25,94,14,171,15,8,6,22742
Ochefu,Daniel,F,Bulls,0,0,0,0,0,0,0,0,0
Ojeleye,Semi,SF,Celtics,141,32,117,16,139,18,17,2,52557
Okafor,Emeka,C,Pelicans,74,19,86,4,95,6,5,21,15744
Okafor,Jahlil,C,Nets,129,29,80,12,161,21,3,17,20185
Oladipo,Victor,SG,Pacers,1168,321,338,270,1497,193,143,50,131092
Olynyk,Kelly,PF,Heat,520,142,359,161,699,127,51,30,89666
O'Neale,Royce,SF,Jazz,231,68,186,78,273,46,31,11,53684
Onuaku,Chinanu,F,Rockets,0,0,0,0,0,0,0,0,0
O'Quinn,Kyle,C,Knicks,324,115,391,135,473,89,33,81,70546
Osman,Cedi,SF,Cavaliers,149,33,102,27,196,27,18,3,34131
Ouattara,Yakuba,SG,Nets,0,0,0,0,0,0,0,0,0
Oubre Jr.,Kelly,SF,Wizards,654,193,310,77,815,75,65,27,113739
Pachulia,Zaza,C,Warriors,233,87,288,101,340,62,35,13,51737
Paige,Marcus,PG,Hornets,2,0,2,0,0,0,0,0,175
Papagiannis,Georgios,C,Trail Blazers,41,0,36,9,34,8,2,6,7073
Parker,Jabari,PF,Bucks,160,35,73,26,204,21,9,5,22713
Parker,Tony,PG,Spurs,338,62,80,171,377,59,26,1,52695
Parsons,Chandler,SF,Grizzlies,208,25,80,61,251,34,15,11,37331
Patterson,Patrick,PF,Thunder,237,41,174,51,275,33,42,21,67850
Patton,Justin,C,Timberwolves,0,0,0,0,0,0,0,0,0
Paul,Branden,SG,Spurs,115,37,66,36,131,28,25,7,32105
Paul,Chris,PG,Rockets,711,208,288,416,972,119,91,13,99632
Payne,Adreian,PF,Magic,10,6,9,0,21,2,2,0,2553
Payne,Cameron,PG,Bulls,94,7,25,45,102,13,15,4,14548
Payton,Elfrid,PG,Suns,636,162,263,375,775,161,78,21,102974
Payton II,Gary,PG,Lakers,47,3,23,13,40,3,3,3,8763
Perkins,Kendrick,C,Cavaliers,0,0,0,0,0,0,0,0,0
Perrantes,London,G,Cavaliers,3,0,1,5,2,1,0,0,1473
Peters,Alec,PF,Suns,32,3,20,8,24,1,0,2,5893
Plumlee,Marshall,C,Bucks,3,16,16,2,14,3,0,1,2699
Plumlee,Mason,C,Nuggets,330,156,358,125,459,93,44,67,75587
Plumlee,Miles,C,Hawks,155,48,184,38,202,54,16,28,45917
Poeltl,Jakob,C,Raptors,320,88,327,50,466,69,31,93,77163
Pondexter,Quincy,SF,Bulls,49,17,27,9,45,11,8,2,11741
Popovich,Gregg,C,Spurs,0,0,0,0,0,0,0,0,1440
Porter Jr.,Otto,SF,Wizards,770,117,429,135,980,61,106,30,127341
Portis,Bobby,PF,Bulls,661,136,402,105,793,78,39,15,80252
Porzingis,Kristaps,PF,Knicks,889,275,316,57,1088,93,36,115,93190
Powell,Dwight,PF,Mavericks,374,160,384,71,587,50,57,25,86584
Powell,Norman,SG,Raptors,329,39,101,80,342,57,32,14,56715
Poythress,Alex,C,Pacers,25,0,17,2,26,2,3,1,6054
Prince,Taurean,SF,Hawks,800,148,342,166,946,158,68,39,126657
Pullen,Jacob,PG,76ers,2,0,0,0,2,1,0,0,365
Purvis,Rodney,G,Magic,16,5,3,1,19,5,1,2,3443
Rabb,Ivan,PF,Grizzlies,85,20,90,20,119,25,7,5,18342
Randle,Julius,PF,Lakers,748,333,542,174,1095,174,37,42,108101
Randolph,Zach,PF,Kings,755,107,395,124,853,116,42,10,89551
Rathan-Mayes,Xavier,G,Grizzlies,42,9,5,18,29,11,6,3,7067
Redick,JJ,SG,76ers,705,183,146,177,954,84,32,5,105696
Reed,Davon,SG,Suns,37,4,19,7,33,3,3,1,6680
Reed,Willie,C,Pistons,121,55,122,10,195,19,9,22,25672
Richardson,Josh,SF,Heat,754,119,233,192,898,126,105,59,137655
Richardson,Malachi,SG,Raptors,90,22,34,13,89,10,10,1,19400
Rivers,Austin,PG,Clippers,654,125,126,183,766,90,56,13,98386
Rivers,Doc,C,Clippers,0,0,0,0,0,0,0,0,720
Roberson,Andre,SG,Thunder,162,38,185,46,194,30,46,35,62203
Robinson,Devin,SF,Wizards,0,0,0,0,0,0,0,0,0
Robinson III,Glenn,SF,Pacers,40,5,13,11,36,2,6,1,9910
Rondo,Rajon,PG,Pelicans,400,36,213,430,430,118,54,10,84888
Rose,Derrick,PG,Timberwolves,159,43,33,33,181,31,5,4,21553
Ross,Terrence,SG,Magic,177,35,70,35,198,25,27,10,34567
Rozier,Terry,PG,Celtics,669,126,316,186,760,65,67,16,104982
Rubio,Ricky,PG,Jazz,702,214,301,360,816,183,101,8,117160
Rush,Brandon,SG,Trail Blazers,0,0,0,0,0,0,0,0,0
Russell,D'Angelo,PG,Nets,510,112,139,173,579,111,25,10,55539
Sabonis,Domantas,PF,Pacers,585,205,520,135,769,126,33,28,97753
Sampson,JaKarr,SF,Kings,44,8,54,7,68,6,6,13,13608
Sanders,Larry,C,Cavaliers,0,0,0,0,0,0,0,0,0
Saric,Dario,PF,76ers,773,183,466,175,1005,133,45,20,122331
Satoransky,Tomas,PG,Wizards,305,90,171,227,434,63,44,10,77831
Schroder,Dennis,PG,Hawks,1100,254,200,404,1244,177,72,6,120876
Scott,Mike,PF,Wizards,431,63,198,62,561,70,22,10,70435
Sefolosha,Thabo,SF,Jazz,240,54,161,33,312,30,51,12,48337
Selden,Wayne,SG,Grizzlies,180,39,43,47,208,41,13,3,30126
Sessions,Ramon,PG,Wizards,87,34,25,47,90,23,9,2,16663
Shumpert,Iman,SG,Kings,58,15,41,17,62,16,9,5,16571
Siakam,Pascal,PF,Raptors,414,72,309,130,493,57,55,36,84394
Simmons,Ben,PF,76ers,863,290,521,517,1089,237,115,56,138079
Simmons,Jonathon,SF,Magic,761,241,240,171,962,146,57,17,121777
Simmons,Kobi,SG,Grizzlies,116,12,37,35,115,24,14,5,22922
Singler,Kyle,SF,Thunder,21,13,10,2,23,3,1,0,3530
Sloan,Donald,PG,Nets,0,0,0,0,0,0,0,0,0
Smart,Marcus,SG,Celtics,515,133,189,259,550,129,71,23,96817
Smith,Ish,PG,Pistons,671,109,189,303,728,93,53,15,104272
Smith,Jason,PF,Wizards,98,17,44,13,92,14,3,11,14451
Smith,Josh,PF,Pelicans,2,0,2,0,2,0,0,0,709
Smith,J.R.,SG,Cavaliers,514,48,195,127,556,67,61,9,116194
Smith Jr.,Dennis,PG,Mavericks,902,176,232,298,918,171,62,15,108632
Snell,Tony,SG,Bucks,358,44,123,84,444,35,43,22,105929
Snyder,Quin,C,Jazz,0,0,0,0,0,0,0,0,1440
Speights,Marreese,C,Magic,329,50,129,37,378,36,6,22,38461
Spoelstra,Erik,C,Heat,0,0,0,0,0,0,0,0,2880
Stauskas,Nik,SG,Nets,120,22,52,29,142,21,8,3,25696
Stephenson,Lance,SF,Pacers,601,110,360,206,658,118,40,12,95266
Stevens,Brad,C,Celtics,0,0,0,0,0,0,0,0,1440
Stockton,David,PG,Jazz,0,0,0,0,0,0,0,0,0
Stone,Diamond,C,Clippers,0,0,0,0,0,0,0,0,0
Stone,Julyan,SG,Hornets,4,2,16,12,7,4,2,1,3583
Stotts,Terry,C,Trail Blazers,0,0,0,0,0,0,0,0,720
Sumner,Edmond,PG,Pacers,0,0,0,0,0,0,0,0,0
Swanigan,Caleb,PF,Trail Blazers,46,13,38,10,43,13,5,3,8874
Tatum,Jayson,PF,Celtics,707,225,350,103,942,95,62,54,128073
Tavares,Edy,C,Hawks,0,0,0,0,0,0,0,0,0
Taylor,Isaiah,PG,Hawks,254,108,72,146,303,56,25,10,50611
Teague,Jeff,PG,Timberwolves,666,196,186,422,830,153,92,20,118999
Teletovic,Mirza,PF,Bucks,57,0,23,10,71,7,4,1,9550
Temple,Garrett,SG,Kings,465,78,149,124,545,80,59,26,95524
Teodosic,Milos,PG,Clippers,317,36,115,195,366,88,22,4,59672
Terry,Jason,SG,Bucks,105,6,37,41,112,20,24,11,32691
Theis,Daniel,PF,Celtics,234,81,274,56,331,56,30,47,56141
Thibodeau,Tom,C,Timberwolves,0,0,0,0,0,0,0,0,720
Thomas,Isaiah,PG,Lakers,395,125,63,148,460,88,15,3,48621
Thomas,Lance,SF,Knicks,229,47,153,40,261,37,28,14,72231
Thompson,Klay,SG,Warriors,1041,91,254,176,1300,113,46,34,135513
Thompson,Tristan,PF,Cavaliers,195,66,275,26,264,30,15,17,53875
Thornton,Marcus,SG,Cavaliers,0,0,0,0,0,0,0,0,0
Thornwell,Sindarius,PG,Clippers,175,65,99,42,215,37,37,22,53862
Tolliver,Anthony,PF,Pistons,361,97,181,72,510,49,24,15,81659
Towns,Karl-Anthony,C,Timberwolves,982,340,871,167,1472,142,56,102,150306
Triano,Jay,C,Suns,0,0,0,0,0,0,0,0,720
Tucker,P.J.,SF,Rockets,358,58,390,64,411,63,72,19,116181
Turner,Evan,SF,Trail Blazers,483,94,216,151,543,88,38,22,102540
Turner,Myles,C,Pacers,530,178,363,71,721,80,28,102,90120
Udoh,Ekpe,C,Jazz,112,54,141,51,157,19,41,67,45763
Ulis,Tyler,PG,Suns,416,74,92,232,399,95,59,4,78890
Uthoff,Jarrod,SF,Mavericks,0,0,0,0,0,0,0,0,0
Valanciunas,Jonas,C,Raptors,574,183,565,73,823,101,27,57,89494
Valentine,Denzel,SF,Bulls,639,45,371,223,700,83,52,10,113961
Van Gundy,Stan,C,Pistons,0,0,0,0,0,0,0,0,1440
VanVleet,Fred,PG,Raptors,464,90,166,209,549,67,61,17,78355
Vaughn,Rashad,SG,Magic,56,6,22,13,64,6,4,3,12718
Vonleh,Noah,PF,Bulls,165,45,236,25,190,21,10,14,40390
Vucevic,Nikola,C,Magic,690,80,425,156,807,97,45,52,85039
Vujacic,Sasha,SG,Knicks,0,0,0,0,0,0,0,0,0
Wade,Dwyane,SG,Heat,586,170,227,194,677,120,51,36,80477
Waiters,Dion,SG,Heat,410,67,77,113,429,70,22,9,55053
Walker,Kemba,PG,Hornets,1189,364,215,391,1534,148,81,21,141473
Wall,John,PG,Wizards,602,221,130,343,716,134,49,42,76160
Wallace,Tyrone,SG,Clippers,167,64,71,53,212,25,18,9,34559
Walton,Luke,C,Lakers,0,0,0,0,0,0,0,0,2160
Walton Jr.,Derrick,PG,Heat,24,4,12,15,27,2,5,3,8210
Warney,Jameel,F,Mavericks,12,5,9,0,17,1,0,0,1610
Warren,TJ,SF,Suns,1063,255,332,85,1271,84,65,41,128507
Wear,Travis,F,Lakers,35,4,16,1,42,2,0,4,5646
Webb III,James,F,Nets,21,0,22,4,14,3,1,0,6476
Weber,Briante,PG,Grizzlies,26,6,29,16,31,9,12,4,9533
West,David,PF,Warriors,317,68,208,116,432,68,39,66,49860
Westbrook,Russell,PG,Thunder,1479,486,681,716,1774,331,126,17,151976
White,Derrick,PG,Spurs,33,20,26,9,54,6,4,3,8323
White,Okaro,F,Hawks,16,3,11,2,20,1,1,1,4773
Whitehead,Isaiah,PG,Nets,86,19,26,20,100,24,8,2,10779
White III,Andrew,C,Hawks,40,2,12,1,45,2,2,0,6587
Whiteside,Hassan,C,Heat,502,168,552,45,670,87,36,79,72920
Wiggins,Andrew,SG,Timberwolves,1128,278,291,130,1277,124,75,45,154028
Wilcox,CJ,SG,Trail Blazers,0,0,0,0,0,0,0,0,0
Wiley,Jacob,SF,Nets,4,2,11,2,4,0,1,0,1995
Wilkins,Damien,SG,Pacers,39,4,16,8,33,5,2,1,9143
Williams,Alan,PF,Suns,0,0,0,0,0,0,0,0,0
Williams,C.J.,SG,Clippers,163,14,45,30,178,18,28,13,35451
Williams,Derrick,SF,Lakers,4,0,1,0,2,0,0,0,511
Williams,Elliott,SG,Thunder,0,0,0,0,0,0,0,0,0
Williams,Lou,SG,Clippers,1163,430,175,363,1565,200,74,17,133192
Williams,Marvin,PF,Hornets,472,102,315,74,617,58,46,28,101599
Williams,Troy,SF,Knicks,73,19,39,6,90,10,12,1,10386
Williams Jr.,Matt,SG,Heat,6,0,1,0,5,1,0,0,684
Wilson,D. J.,PF,Bucks,14,2,9,3,19,4,2,1,4138
Wilson,Jamil,PF,Clippers,81,4,32,10,105,8,5,8,16427
Wiltjer,Kyle,F,Rockets,0,0,0,0,0,0,0,0,0
Winslow,Justise,SF,Heat,373,77,309,123,399,64,44,28,81354
Withey,Jeff,C,Mavericks,16,2,10,0,15,2,0,3,2358
Wolters,Nate,PG,Jazz,6,0,2,1,2,0,0,0,1127
Wood,Christian,PF,Hornets,0,0,0,0,0,0,0,0,0
Wright,Brandan,C,Rockets,102,33,95,13,139,8,13,26,22852
Wright,Delon,PG,Raptors,361,98,159,162,473,68,61,27,71127
Yabusele,Guerschon,PF,Celtics,36,11,36,11,45,8,2,2,8062
Young,James,SG,76ers,12,6,2,2,15,0,0,0,3127
Young,Joe,PG,Pacers,171,29,61,36,192,25,14,1,31207
Young,Michael,F,Wizards,0,0,0,0,0,0,0,0,0
Young,Nick,SG,Warriors,388,48,95,30,478,34,34,7,64409
Young,Thaddeus,PF,Pacers,738,72,423,135,810,92,115,31,136012
Zeller,Cody,C,Hornets,154,85,175,31,233,33,14,21,37628
Zeller,Tyler,C,Bucks,285,66,251,32,371,42,10,30,54452
Zhou,Qi,PF,Rockets,24,10,13,1,17,5,2,6,4523
Zimmerman,Stephen,C,Lakers,0,0,0,0,0,0,0,0,0
Zipser,Paul,SF,Bulls,215,20,123,41,205,39,19,13,45893
Zizic,Ante,C,Cavaliers,45,13,44,4,72,9,1,11,8496
Zubac,Ivica,C,Lakers,69,32,65,10,95,18,4,5,13952
